scene_id,platform,acquisition_date,orbit_pass,relative_orbit,absolute_orbit,polarization,size_mb,gap_days
S1A_IW_SLC__1SDV_20170607T105756_20170607T105823_016927_01C2B6_1816,Sentinel-1A,2017-06-07 10:57:56+00:00,ASCENDING,55,16927,VV+VH,4636.4,11.0
S1A_IW_SLC__1SDV_20170607T105820_20170607T105847_016927_01C2B6_0A47,Sentinel-1A,2017-06-07 10:58:20+00:00,ASCENDING,55,16927,VV+VH,4628.6,0.0
S1A_IW_SLC__1SDV_20170619T105756_20170619T105823_017102_01C81D_D165,Sentinel-1A,2017-06-19 10:57:56+00:00,ASCENDING,55,17102,VV+VH,4624.1,11.0
S1A_IW_SLC__1SDV_20170619T105821_20170619T105848_017102_01C81D_6A5D,Sentinel-1A,2017-06-19 10:58:21+00:00,ASCENDING,55,17102,VV+VH,4657.3,0.0
S1A_IW_SLC__1SDV_20170701T105757_20170701T105824_017277_01CD64_5201,Sentinel-1A,2017-07-01 10:57:57+00:00,ASCENDING,55,17277,VV+VH,4635.3,11.0
S1A_IW_SLC__1SDV_20170701T105822_20170701T105849_017277_01CD64_F0AF,Sentinel-1A,2017-07-01 10:58:22+00:00,ASCENDING,55,17277,VV+VH,4656.3,0.0
S1A_IW_SLC__1SDV_20170713T105757_20170713T105824_017452_01D2AC_FD6B,Sentinel-1A,2017-07-13 10:57:57+00:00,ASCENDING,55,17452,VV+VH,4810.0,11.0
S1A_IW_SLC__1SDV_20170713T105822_20170713T105849_017452_01D2AC_D652,Sentinel-1A,2017-07-13 10:58:22+00:00,ASCENDING,55,17452,VV+VH,4648.2,0.0
S1A_IW_SLC__1SDV_20170725T105757_20170725T105825_017627_01D807_B011,Sentinel-1A,2017-07-25 10:57:57+00:00,ASCENDING,55,17627,VV+VH,4792.8,11.0
S1A_IW_SLC__1SDV_20170725T105823_20170725T105850_017627_01D807_5F09,Sentinel-1A,2017-07-25 10:58:23+00:00,ASCENDING,55,17627,VV+VH,4631.0,0.0
S1A_IW_SLC__1SDV_20170806T105759_20170806T105826_017802_01DD5B_BD66,Sentinel-1A,2017-08-06 10:57:59+00:00,ASCENDING,55,17802,VV+VH,4620.1,11.0
S1A_IW_SLC__1SDV_20170806T105824_20170806T105851_017802_01DD5B_94FF,Sentinel-1A,2017-08-06 10:58:24+00:00,ASCENDING,55,17802,VV+VH,4637.8,0.0
S1A_IW_SLC__1SDV_20170818T105800_20170818T105826_017977_01E2A9_E210,Sentinel-1A,2017-08-18 10:58:00+00:00,ASCENDING,55,17977,VV+VH,4620.8,11.0
S1A_IW_SLC__1SDV_20170818T105824_20170818T105851_017977_01E2A9_43EE,Sentinel-1A,2017-08-18 10:58:24+00:00,ASCENDING,55,17977,VV+VH,4631.9,0.0
S1A_IW_SLC__1SDV_20170830T105800_20170830T105827_018152_01E7EE_7D0A,Sentinel-1A,2017-08-30 10:58:00+00:00,ASCENDING,55,18152,VV+VH,4619.4,11.0
S1A_IW_SLC__1SDV_20170830T105825_20170830T105852_018152_01E7EE_F175,Sentinel-1A,2017-08-30 10:58:25+00:00,ASCENDING,55,18152,VV+VH,4640.6,0.0
S1A_IW_SLC__1SDV_20170911T105801_20170911T105827_018327_01ED67_0578,Sentinel-1A,2017-09-11 10:58:01+00:00,ASCENDING,55,18327,VV+VH,4616.9,11.0
S1A_IW_SLC__1SDV_20170911T105825_20170911T105852_018327_01ED67_E800,Sentinel-1A,2017-09-11 10:58:25+00:00,ASCENDING,55,18327,VV+VH,4631.8,0.0
S1A_IW_SLC__1SDV_20170923T105801_20170923T105828_018502_01F2C3_DF5D,Sentinel-1A,2017-09-23 10:58:01+00:00,ASCENDING,55,18502,VV+VH,4613.9,11.0
S1A_IW_SLC__1SDV_20170923T105826_20170923T105853_018502_01F2C3_5E66,Sentinel-1A,2017-09-23 10:58:26+00:00,ASCENDING,55,18502,VV+VH,4635.9,0.0
S1A_IW_SLC__1SDV_20171005T105801_20171005T105828_018677_01F81B_CF6C,Sentinel-1A,2017-10-05 10:58:01+00:00,ASCENDING,55,18677,VV+VH,4632.7,11.0
S1A_IW_SLC__1SDV_20171005T105826_20171005T105853_018677_01F81B_B9B3,Sentinel-1A,2017-10-05 10:58:26+00:00,ASCENDING,55,18677,VV+VH,4631.4,0.0
